sentence,intensity_level,intensity_level_normalized,intensity_category,clean_sentence
বাংলাদেশই হয়ত এক মাত্র দেশ পৃথিবীতে যেখানে গণতন্ত্রের নামে পরিবারতন্ত্রের রাজত্বে পরিণত হয়েছে এবং সম্ভবত দেশের মানুষও সেটাকে গ্রহন করে নিয়েছে  অনেকটা যেন প্রতিষ্ঠানিক রূপ দিয়ে দিয়েছে  কেননা দেশে যে বৃহত্তর দুটি দল দেশের রাজনীতি পরিচালনা করে তার একটি চলে স্বাধীনতার স্থপতি বঙ্গবন্ধু শেখ মুজিবুর রহমানের মেয়ে শেখ হাছিনার নেতৃত্বে এবং অন্যটি চলে স্বাধীনতার ঘোষক জেনারেল জিয়ার স্ত্রী বেগম খালেদা জিয়ার নেতৃত্বে  বাংলাদেশের রাজনিতীতে এরাই হচ্ছেন প্রধান ফ্যক্টর  দেখা যাচ্ছে ভবিষ্যতে এ ধারাই চলতে থাকবে  	Personal,1,0,Disagreement,বাংলাদেশই হয়ত এক মাত্র দেশ পৃথিবীতে যেখানে গণতন্ত্রের নামে পরিবারতন্ত্রের রাজত্বে পরিণত হয়েছে এবং সম্ভবত দেশের মানুষও সেটাকে গ্রহন করে নিয়েছে অনেকটা যেন প্রতিষ্ঠানিক রূপ দিয়ে দিয়েছে কেননা দেশে যে বৃহত্তর দুটি দল দেশের রাজনীতি পরিচালনা করে তার একটি চলে স্বাধীনতার স্থপতি বঙ্গবন্ধু শেখ মুজিবুর রহমানের মেয়ে শেখ হাছিনার নেতৃত্বে এবং অন্যটি চলে স্বাধীনতার ঘোষক জেনারেল জিয়ার স্ত্রী বেগম খালেদা জিয়ার নেতৃত্বে বাংলাদেশের রাজনিতীতে এরাই হচ্ছেন প্রধান ফ্যক্টর দেখা যাচ্ছে ভবিষ্যতে এ ধারাই চলতে থাকবে Personal
কী আর বলব মামানমারে মুছুলমান মারছে আর আমাদের সরকার ভারতের টেরেন হাতছা।দুঃখ প্রকাশ করেছেন,1,0,Disagreement,কী আর বলব মামানমারে মুছুলমান মারছে আর আমাদের সরকার ভারতের টেরেন হাতছা।দুঃখ প্রকাশ করেছেন
যে জায়গায় মূক্তিযোদ্ধারা না খেয়ে মানবতর জীবন যাপন করছে সে জায়গা ভারত প্রীতি আওয়ামিরা বাংলাদেশে পাচার করার কৌশল অবলম্বন করছে ।যাতে বাংলাদেশকে ভারতে অঙ্গ রাজ্য বানাতে কোন ব্যাক পেতে হবে না ।,1,0,Disagreement,যে জায়গায় মূক্তিযোদ্ধারা না খেয়ে মানবতর জীবন যাপন করছে সে জায়গা ভারত প্রীতি আওয়ামিরা বাংলাদেশে পাচার করার কৌশল অবলম্বন করছে ।যাতে বাংলাদেশকে ভারতে অঙ্গ রাজ্য বানাতে কোন ব্যাক পেতে হবে না ।
বাঘের বল বার বছর তুই সালা একন কই,1,0,Disagreement,বাঘের বল বার বছর তুই সালা একন কই
ভারতের উচিৎ পাকিস্তানের পায়ে ধরে ক্ষমা চাওয়া 	Geopolitical,1,0,Disagreement,ভারতের উচিৎ পাকিস্তানের পায়ে ধরে ক্ষমা চাওয়া Geopolitical
আল্লাহ নাস্তিকদের হেদায়েত দেওয়ার আগে এই মোল্লাগুলোকে হেদায়েত দাও,1,0,Disagreement,আল্লাহ নাস্তিকদের হেদায়েত দেওয়ার আগে এই মোল্লাগুলোকে হেদায়েত দাও
ইসলামে কি এইটা বলা আছে আপনি আপনার মতামত মানেন না মানবেন না আপনার ইচ্ছা নাকি বলা আছে দ্বীন ত্যাগ করলেই তাকে হ ত্যা করে ফেল ইসলাম জেনে কথা বললে ভাল হয় ধন্যবাদ,1,0,Disagreement,ইসলামে কি এইটা বলা আছে আপনি আপনার মতামত মানেন না মানবেন না আপনার ইচ্ছা নাকি বলা আছে দ্বীন ত্যাগ করলেই তাকে হ ত্যা করে ফেল ইসলাম জেনে কথা বললে ভাল হয় ধন্যবাদ
প্রেম মেনে না নেয়ায় মা খুন হলেন মেয়ের হাতে,1,0,Disagreement,প্রেম মেনে না নেয়ায় মা খুন হলেন মেয়ের হাতে
দেশটাই ভারতকে দিয়ে দে রে	Geopolitical,1,0,Disagreement,দেশটাই ভারতকে দিয়ে দে রে Geopolitical
আপনার খমতায় যাওয়ার দিন শেষ পাকিস্তান জামাত শিবির হেপাজত কেউ এ আর আপনাকে খমতায় বসানোর সুজুগ পাইবেনা ওরা নিজেরা এ এখন অশোহায় 	Political,1,0,Disagreement,আপনার খমতায় যাওয়ার দিন শেষ পাকিস্তান জামাত শিবির হেপাজত কেউ এ আর আপনাকে খমতায় বসানোর সুজুগ পাইবেনা ওরা নিজেরা এ এখন অশোহায় Political
তাতে অমার বাল ছেড়া গেলো,1,0,Disagreement,তাতে অমার বাল ছেড়া গেলো
আমার বালে নিজের দেশের খবর রাখে না আছে আমেরিকা লইয়া,1,0,Disagreement,আমার বালে নিজের দেশের খবর রাখে না আছে আমেরিকা লইয়া
আবালডা তার জাষ্ট ফ্রেন্ড গাভীরে নিয়া চলে আসছে লাইভ দেখলে লিংক পাবেন বসেন বসেন বইসা যান,1,0,Disagreement,আবালডা তার জাষ্ট ফ্রেন্ড গাভীরে নিয়া চলে আসছে লাইভ দেখলে লিংক পাবেন বসেন বসেন বইসা যান
বারোবাতারী তোদের আবার বিয়ে ছিঃ ছিঃ ছিঃ,1,0,Disagreement,বারোবাতারী তোদের আবার বিয়ে ছিঃ ছিঃ ছিঃ
কোথায় গেছে আজ জাতিসংঘ  ওয়াইসিও কোথায়   হিন্দু নির্যাতিত হলে ভারত কাঁদে খৃষ্টান হলে আমেরিকা কাঁদে ইহুদি হলে ইজরাইল কাঁদে বৌদ্ধ হলে চীন কাঁদে মুসলমান নির্যাতিত হলে কোন দেশ কাঁদে না মিয়ানমারে রোহিঙ্গাদের প্রতি বর্বর নির্যাতন দেখে আমাদের কি একটুও মন কাঁধে না   এই কেমন নির্মম	Geopolitical,1,0,Disagreement,কোথায় গেছে আজ জাতিসংঘ ওয়াইসিও কোথায় হিন্দু নির্যাতিত হলে ভারত কাঁদে খৃষ্টান হলে আমেরিকা কাঁদে ইহুদি হলে ইজরাইল কাঁদে বৌদ্ধ হলে চীন কাঁদে মুসলমান নির্যাতিত হলে কোন দেশ কাঁদে না মিয়ানমারে রোহিঙ্গাদের প্রতি বর্বর নির্যাতন দেখে আমাদের কি একটুও মন কাঁধে না এই কেমন নির্মম Geopolitical
সালে ভারত যদি বাংলাদেশের মানুষদের জন্যে সীমান্ত খুলে না দিত তাহলে বাংলাদেশের মানুষের কি অবস্থা হত তা একমাত্র ঐসময়ের ভূক্ত ভোগীরাই সবচেয়ে ভাল বলতে পারবে   আমার মতে বর্তমানের রাখাইন মুসলমানদের এই চরম দূরর্দষায় বাংলাদেশকে সাহায্যের হাত বাড়ীয়ে দেয়া অতীব জরুরী হয়ে পড়ছে এবং সাথে সাথে বাংলাদেশ হতে বার্মার দূতাবাসের সকল কার্যক্রম বন্দ্ব করে দেয়া উচিৎ  	Geopolitical,1,0,Disagreement,সালে ভারত যদি বাংলাদেশের মানুষদের জন্যে সীমান্ত খুলে না দিত তাহলে বাংলাদেশের মানুষের কি অবস্থা হত তা একমাত্র ঐসময়ের ভূক্ত ভোগীরাই সবচেয়ে ভাল বলতে পারবে আমার মতে বর্তমানের রাখাইন মুসলমানদের এই চরম দূরর্দষায় বাংলাদেশকে সাহায্যের হাত বাড়ীয়ে দেয়া অতীব জরুরী হয়ে পড়ছে এবং সাথে সাথে বাংলাদেশ হতে বার্মার দূতাবাসের সকল কার্যক্রম বন্দ্ব করে দেয়া উচিৎ Geopolitical
কখন জানি হাসিনা বলে এর জন্য জামায়াত শিবির দায়ী   	Political,1,0,Disagreement,কখন জানি হাসিনা বলে এর জন্য জামায়াত শিবির দায়ী Political
ধুর বাল ঘুমন্ত বাবু টা জেগে উঠলো,1,0,Disagreement,ধুর বাল ঘুমন্ত বাবু টা জেগে উঠলো
ভারতীয় আগ্রাসনের প্রথম শহীদ আবরার,1,0,Disagreement,ভারতীয় আগ্রাসনের প্রথম শহীদ আবরার
রাজাকার সমাবেশ করতে পারেন সেটা মন্দ নয়। আপনারাতো রাজাকারদের মন্ত্রী বানাইছেন। এখন মুক্তিযোদ্ধা সমাবেশ করে মুক্তিযুদ্ধকে অপমান ছাড়া আর কিছুই নয়।,1,0,Disagreement,রাজাকার সমাবেশ করতে পারেন সেটা মন্দ নয়। আপনারাতো রাজাকারদের মন্ত্রী বানাইছেন। এখন মুক্তিযোদ্ধা সমাবেশ করে মুক্তিযুদ্ধকে অপমান ছাড়া আর কিছুই নয়।
রাজনৈতিক ক্ষমতা মহড়াটাই বর্তমান ধর্ষণের যে ব্যাপকতা তার মূল কারণ বলে মনে করছি  একটি অবৈধ  অনির্বাচিত আর গায়ের জোরে ঠিকে থাকা সরকারের নেতাকর্মীরা নিজেদের সবকিছুর উর্ধ্বে ভাবছে বিধায় তারা তাদের ক্ষমতা প্রয়োগ করছে জায়গায় বেজায়গায়  যদিও ক্ষমতা চেঞ্জ হলে ধর্ষণ পুরোপুরি সেরে যাবেনা তবে আইনের শাসন ও বিচারব্যবস্থার রাজনীতিকরণ মুক্ত করা গেলে অনেকাংশেই তা নিয়ন্ত্রণে আসবে,1,0,Disagreement,রাজনৈতিক ক্ষমতা মহড়াটাই বর্তমান ধর্ষণের যে ব্যাপকতা তার মূল কারণ বলে মনে করছি একটি অবৈধ অনির্বাচিত আর গায়ের জোরে ঠিকে থাকা সরকারের নেতাকর্মীরা নিজেদের সবকিছুর উর্ধ্বে ভাবছে বিধায় তারা তাদের ক্ষমতা প্রয়োগ করছে জায়গায় বেজায়গায় যদিও ক্ষমতা চেঞ্জ হলে ধর্ষণ পুরোপুরি সেরে যাবেনা তবে আইনের শাসন ও বিচারব্যবস্থার রাজনীতিকরণ মুক্ত করা গেলে অনেকাংশেই তা নিয়ন্ত্রণে আসবে
বাংলাদেশ স্বাধীন করার পিছনে ভারতের একটি বিষাক্ত রাজনীতি ছিল  	Geopolitical,1,0,Disagreement,বাংলাদেশ স্বাধীন করার পিছনে ভারতের একটি বিষাক্ত রাজনীতি ছিল Geopolitical
ভাইয়া তুমি এগিয়ে যাও অনেক শুভ কামনা তোমার জন্য আর যারা তোমাকে নিয়ে খারাপ মন্তব্য করে আসলেই তারা একটা আবাল,1,0,Disagreement,ভাইয়া তুমি এগিয়ে যাও অনেক শুভ কামনা তোমার জন্য আর যারা তোমাকে নিয়ে খারাপ মন্তব্য করে আসলেই তারা একটা আবাল
লুচু লুচু ভাব আপু বিয়ের আগে কিছু দেখাইলে বিয়ের পর সব শেস,1,0,Disagreement,লুচু লুচু ভাব আপু বিয়ের আগে কিছু দেখাইলে বিয়ের পর সব শেস
ছ্যাছরা ব্যাটা কোথাকার ডায়লগ টা সবসমই অস্থির লাগে শুনতে,1,0,Disagreement,ছ্যাছরা ব্যাটা কোথাকার ডায়লগ টা সবসমই অস্থির লাগে শুনতে
পরের ভোটে তুমি দাড়াবো প্রিয়তম পাছা মার্কায়,1,0,Disagreement,পরের ভোটে তুমি দাড়াবো প্রিয়তম পাছা মার্কায়
১৯৭১ সালে ভারত পাকিস্তান কে থাপ্পড় মেরে দুই টুকরো করেছে।,1,0,Disagreement,১৯৭১ সালে ভারত পাকিস্তান কে থাপ্পড় মেরে দুই টুকরো করেছে।
এদের কোন বিচার  হবে না। ও আওয়ামীলীগ এর লোক।।,1,0,Disagreement,এদের কোন বিচার হবে না। ও আওয়ামীলীগ এর লোক।।
যেখানে হযরত মোহাম্মদ সঃ বাদে সব নবী রাসুল এবং সমস্ত উম্মাত গন বলবে ইয়া নফসি ইয়া নফসি সেখানে তর বাবায় কি করবে রে পাগল,1,0,Disagreement,যেখানে হযরত মোহাম্মদ সঃ বাদে সব নবী রাসুল এবং সমস্ত উম্মাত গন বলবে ইয়া নফসি ইয়া নফসি সেখানে তর বাবায় কি করবে রে পাগল
হেতিরে কেউ ২ আঙুলের ফাকে একটা বিড়ি ধরায়ে দে,1,0,Disagreement,হেতিরে কেউ ২ আঙুলের ফাকে একটা বিড়ি ধরায়ে দে
"কুলাঙ্গার লতিফ সিদ্দিকী হজ¦ ও প্রিয়নবীকে কটাক্ষ করল, তরিকত ফেডারেশন ও জশনে জলুসের আশেকে রাসুল (সঃ) গেল কোথায়?",1,0,Disagreement,"কুলাঙ্গার লতিফ সিদ্দিকী হজ¦ ও প্রিয়নবীকে কটাক্ষ করল, তরিকত ফেডারেশন ও জশনে জলুসের আশেকে রাসুল (সঃ) গেল কোথায়?"
এসব সৌদি আরবের আর্থিক অনুদান দিয়েছিলো আজ থেকে ৭৮ বছর আগে নিজ দেশ থেকে একটা মসজিদও করেনি হাসিনি,1,0,Disagreement,এসব সৌদি আরবের আর্থিক অনুদান দিয়েছিলো আজ থেকে ৭৮ বছর আগে নিজ দেশ থেকে একটা মসজিদও করেনি হাসিনি
মাত্র হাজার ঠেকাতে লক্ষ সেনা এইবার প্রমানিত হল ভারত কতটা দুর্বল রাষ্ট্র 	Geopolitical,1,0,Disagreement,মাত্র হাজার ঠেকাতে লক্ষ সেনা এইবার প্রমানিত হল ভারত কতটা দুর্বল রাষ্ট্র Geopolitical
ভারতে যখন মুসলিমদের ওপর নির্যাতন হয় সেটা কি আপনার বাবায় লিখবে সেই আসায় থাকেন  এসব একতরফা লেখালেখি বন্ধ করেন পারলে সবার দোষ তুলে ধরেন  ধন্যবাদ	Geopolitical,1,0,Disagreement,ভারতে যখন মুসলিমদের ওপর নির্যাতন হয় সেটা কি আপনার বাবায় লিখবে সেই আসায় থাকেন এসব একতরফা লেখালেখি বন্ধ করেন পারলে সবার দোষ তুলে ধরেন ধন্যবাদ Geopolitical
