sentence,intensity_level,intensity_level_normalized,intensity_category
আমার কাছে কথা একটা ওতো কথা বুঝিনা তোমার ভারতকে পাঠাও দেখা যাক কি হয়	Geopolitical,1,0,Disagreement
যুবলীগ কোনো ভালো কাজে আসে না ১০০%,1,0,Disagreement
ওদেরকে গালি দেবার স্টক শেষ আমার,1,0,Disagreement
মুর্খ না হলে তো মুমিন হওয়া যায় না এটা কি আপনি জানেন না,1,0,Disagreement
তুই তো পূজা করিস তোর আবার ঈদ কীসের,1,0,Disagreement
পোশাক পড় দরক পোশাক পরলে পার,1,0,Disagreement
সাবমেরিন এনেছি তাতে ভারতের কি আমাদের যা ইচছা নিব তাতে ভারতের কি	Geopolitical,1,0,Disagreement
আসল জঈিতো ভারত এদের সাথে কিসের একোথা 	Geopolitical,1,0,Disagreement
তুই ইউটিউব থেকে বিদায় নেস না কেন..,1,0,Disagreement
গুরু স্যাটা ভাঙ্গা কবিতা দিছো একখান,1,0,Disagreement
ওদের চুলকানি ইসলাম কে নিয়ে তাই ইসলাম বিরুধী শক্তির বিরুদ্ধে সকল আলেম ওলামাদের একসাথে সোচ্চার হতে হবে,1,0,Disagreement
এটাই করবে অটোপাশ মনে হয় দিবেনা,1,0,Disagreement
ভারতের টিভি সিরিয়াল বন্ধ নিয়ে রিপোর্ট করলে আরও ভালো হতো	Geopolitical,1,0,Disagreement
এই সব বেহুদা ক্লাসলেস ক্যাপশন আর কথাবার্তা কি জন্য বলেন বুঝিনা হুদাই বকা খাইতে ভাল্লাগে,1,0,Disagreement
"নিত্য প্রয়োজনীয় দ্রবাদির দাম কমিয়ে মানুষ বাচান, যারাই এর সাথে জড়িত তাদের কঠোর শাস্তির ব্যাবস্থা করুন। কারন দ্রব্যসামগ্রীর দাম আকাশচুম্বী হতে পারেনা।",1,0,Disagreement
পচা পেয়াজ তারা বিক্রি করছে,1,0,Disagreement
"হু***গা মেরে শেষ করে দিলেও পুলিশের কিছু আসে যায়না, আর নৈতিকতা বজায় রাখতে চুল কেটে দেয়ায়, হুজুর গ্রেপতার।  তবে হুজুর আর মাদ্রাসা বলে কথা। সাধারন শিক্ষক আর স্কুল হলে বিষয়টা উল্টা হতো।  আহ্ আমার সোনার বাংলা।",1,0,Disagreement
বরং ইংল্যান্ড যে পিচে বাংলাদেশের সাথে খেলছে ঐ পুচে ভারত কোন ইনিংসে রান করতে পারতোনা।,1,0,Disagreement
অসচেতন লোকগুলোর শিক্ষা কখনোই হবে না,1,0,Disagreement
টাকার অপচয় না করে ছেঁড়া প্যান্ট পরে দিন কাটায়,1,0,Disagreement
কোথায় ডাকসু আর কোথায় জাতীয় রাজনীতি !বড় বড় রথী মহারথীরা রথ চালাইতে পারলো না আর এর চেয়েও  কি নুর বড় কিছু  ?,1,0,Disagreement
নিজের ধর্ম নিয়ে থাকুন শান্তি এ থাকুন অন্য ধর্ম নিয়ে মাতামাতি করতে আসবেন না আর এটা হিন্দু দের একটা পেইজ এখানে আপনারা কি করেন,1,0,Disagreement
এর থেকে ভালো গান গাইতে পারে এমন অনেকে আছে আচ্ছা গান করে ভালো কথা কিন্তু লতাকন্ঠী এটা শুনতেই বিরক্ত লাগে,1,0,Disagreement
ভারত ও পাকিস্তানের তথাকথিত যুদ্ধের এত অজানা অস্ত্রের কল্পকাহিনী ও খবরা খবর স্বয়ং ভারতীয় ও পাকিস্তানীরা জানে না যতটুকু জানে বাংলাদেশী কিছু ফেইসবুক ব্যবহারকারী ও পত্র পত্রিকার তথাকথিত সাংঘাতিকরা থুক্কু সংবাদিকরা যুদ্ধ মারামারি কিছুই তো হবেনা অহেতুক আমাদের ঘুম হারাম করে এই তথাকথিত সংবাদিকরা,1,0,Disagreement
গোজামিল দিয়ে কি ধর্ম চলে সব ছলছাতুরী,1,0,Disagreement
ভাই তৈল টা কিন্তুু খাঠি ছিল,1,0,Disagreement
এই যদি ভারতের কোন নিউজ থেকে সংগ্রহ করে তাইলে বুয়া বিপরিত কিছু ঘটছে	Geopolitical,1,0,Disagreement
তুমি যে ভাইয়া বেয়াদব সেটা ছোট বেলা থেকেই চেহারায় ছাপ ছিলো,1,0,Disagreement
বর্তমান পরিস্থিতি দেখে মনে হচ্ছে কমিউনিটি ট্রান্সমিশন শুরু হয়ে গেছে সত্যি সত্যি যদি এটা শুরু হয়ে যায় তাহলে বাংলাদেশের অবস্থা ইতালী স্পেনআমেরিকার থেকেও বেশি খারাপ হবে সরকার ও সরকারের স্বাস্থ্যমন্ত্রী পররাষ্ট্রমন্ত্রীদের ব্যার্থতায় এই অবস্থার জন্য দায়ী,1,0,Disagreement
শিক্ষককে গ্রেপ্তার করে পুলিশ অন্যায় করেছে,1,0,Disagreement
ভাই ভারতের সাথে ম্যাচ হেরে শিখ্যা পাওয়া উচিত ছিল কিভাবে ম্যাচ শেষ করতে হয়।আর মুসফিকের কবে সুভ বুদ্ধি হবে প্রতিদিন একই সট্ খেলে আউট হয়,1,0,Disagreement
অফিস যাবে বড়োজোর হয়তো চা দোকান খুলবে,1,0,Disagreement
কেন বিটিভিতে সিন্দাবাদ আলী বাবা চল্লিশ চোর সহ অনেক ভারতীয় কল্পো কাহিনী ভিত্তিক সিরিয়াল এবং ইংরেজী মুভি দ্যা ম্যাকগাইভার দ্যা এ টীম এক্স ফাইলসসহ একাধিক সিরিয়াল গুলো কি পূর্বে ডাবিং করে দেখানো হয় নি ? নাকি সুলতান সুলায়মান মুসলিম ইতিহাস ভিত্তিক কাহিনী বলে এতো বিরোধীতা ।আর,1,0,Disagreement
"আমি হেন্ডস্যাম আর তুমি কালা,,,, আর কেউ কি হবে তোমর জন্য আমার চেয়ে ভালা ??",1,0,Disagreement
এদেশের সাংবাদিকদের নৈতিকতার অবক্ষয় ঘটছে ক্রমায়েশে,1,0,Disagreement
বেটা এর চেয়ে ভালো হতে পারে না,1,0,Disagreement
কিছু নেতা এমপি মন্ত্রীদের মুখের লাগাম টানা দরকার সবার আগে নাহলে সকল চেস্টা হাসির খোরাক হবে,1,0,Disagreement
এতো নাটকীয়তা না করে ভারতীয় চ্যানেল বাংলাদেশে বন্ধ করে দিলেই হয় রাষ্ট্র সমাজ দুটোই লাভবান হবে  	Geopolitical,1,0,Disagreement
অন্যায় কারীর সাস্তি হবে এটাই কাম্য তবে একজন বিচক্ষণ ব্যাক্তির স্ট্যাটাস এরকম হয় না,1,0,Disagreement
হায়রে আজহারিকে ফ্যামাস করার জন্য শেষ পর্যন্ত মন্দিরে ডুকলো,1,0,Disagreement
পরিক্ষায় বাতিল চাই,1,0,Disagreement
গাজা খাইছো না কি,1,0,Disagreement
পাকিস্তান আমার বাবার শত্রু 	Geopolitical,1,0,Disagreement
ভাই ধর্ম নিয়ে কথা বলার পরে আপনার এই অবস্থা,1,0,Disagreement
এদের কারনে এলিয়েনরা পৃথিবীতে বেড়াতে আসে না 	Personal,1,0,Disagreement
ম্যাডম খালেদা জিয়া কোনো দিনও জিততে পারবেনা এবারেও শেখ হাসিনার কাছে হেরে ভূত হয়ে যাবে খালেদা ম্যাডম মিলিয়ে নেবেন,1,0,Disagreement
নামর নাম কুরআনে পাইছে নাম জানুয়ার,1,0,Disagreement
নিউজ পড়ছেন নাকি হেডলাইন দেখেই মন্তব্য করলেন এটা ভারত এর সোনার বাংলা ডাকবেন না,1,0,Disagreement
সব কথা সত্য বলেছেন ভাই হিন্দু ধর্ম বিশ্বাস করার মতো কিছু নাই,1,0,Disagreement
ভারতের হিন্দু হলে নিশ্চিত ঢুকতে দিত,1,0,Disagreement
এরা আছে বলেই এখনও গাঁজা বিক্রেতারা আরামে ঘুমায়,1,0,Disagreement
মূল পয়েন্ট ছাড়া আজাইড়া চিল্লাইছে। বোনাস দিসসেটারও খোটা দিছে।।। বড় প্লেয়ার রা নিজেদের জন্য দাবিতে যায় নি তারা ভবিষ্যতে ছেলেরা যাতে ক্রিকেট কে একটা প্রফেশন হিসেবে নিতে পারে সেটা চাইছে। আর ম বিভাগের টাকা অনেক দেয়জনের উপরে দেয়সবচেয়ে বেশি দেয় বাল বথুয়া!!! যাতায়াত ভাড়া দেয় টাকা ম্যাচে যাতায়াত খরচ কি অনলি টাকা???আরও আছে ফিটনেস টেস্ট করাইতেছেন ফিট থাকার লাগবে সবার। এর উপর থাকা লাগবে। কিন্তু ট্রেনিং এর স্কোপ ঢাকা বাদে কোথাও কি আছে ফিজিওকোচ আদারস বালের ভুগোল বুঝায়।,1,0,Disagreement
তোমার রেট কতো,1,0,Disagreement
পাক ভারত দুটাই আমাদের শত্রু এদের মধ্যে কে মরল আর কে বাঁচলো এতে আমাদের তেমন কিছু যায় আসেনা।আপনারা বরং লেডি হিটলার সুচির চলানো নিরীহ রোহিঙ্গা মুসলিম হত্যার খবর প্রকাশ করতে পারেন।,1,0,Disagreement
সব ছেলেদের দোষ,1,0,Disagreement
সময় টিভির মাথা খারাপ হইছে,1,0,Disagreement
বাল ছাল ছাড় ফানি ভিডি বানা বন্ধু,1,0,Disagreement
আমাদের দেশের এডমিনদের আর কি বলবো এরা ভারত পাকিস্তানে যদি কেউ একটা মারে তাও এঁদের লেখা লাগবে।যাই হোক পারলে ওর ডেলিভারিটা লাইভ দেখায়েন।,1,0,Disagreement
গনজাগরণের বিজয় হয়েছে। হেফাজতের বিদায় হয়েছে,1,0,Disagreement
বিএম কলেজের এই অধ্যক্ষকে লাঞ্চিত করার রায় কি হয়েছে জানেন? বেকসুর খালাস,1,0,Disagreement
"মাসুদভাই ,ইসলাম যদি সত্যি হতো ,মোল্লারা আজ বিভ্রান্তির মধ্যে থাকতো না ৷",1,0,Disagreement
আমার মনে হচ্ছে পৃথিবীটা কট্টর হয়ে যাচ্ছে। ভিন্নমত ভিন্ন ধর্মের মানুষের কোন জায়গা নাই। ভারত চীন ফ্রান্সসহ অনেক দেশ তার প্রমাণ। সর্বশেষ আমেরিকা। বাংলাদেশে যদি সুষ্ঠু নির্বাচন হয় আমার মনে হয় কট্টর জামাত শিবির ক্ষমতায় আসবে। অথবা অন্যকোন কট্টরপন্থী দল। মুখে যাই বলুক। মনে মনে অধিকাংশই সাম্প্রদায়িক। আর সুযোগ পেলেই তার বহিঃপ্রকাশ ঘটাবে। পৃথিবী জুড়ে সাম্প্রদায়িক উগ্রপন্থী এবং উগ্র জাতীয়তাবাদী শক্তি মাথাচাড়া দিয়ে উঠছে। এগুলো আসলে কিসের লক্ষণ? তথাকথিত সভ্য জাতি আমেরিকান ব্রিটিশরাও তার ব্যতিক্রম নয়। প্রমাণি,1,0,Disagreement
আহারে দেশ।।এতটা ইসলাম বিদ্বেষ।।  ছি ছি ছি দেশ।,1,0,Disagreement
তাদের বেলায় ওকে আর অন্যের বেলায় মানবাধিকার ক্ষুণ্ণ,1,0,Disagreement
আপনাদের মুসুলমান গুলি শুধু নাম ধারি মুসুলমান এদের মধ্যে প্রকৃত ধর্ম শিক্ষা নেই,1,0,Disagreement
ধর্মীয় ওয়াজ মাহফিলে নারীদের যেভাবে উপস্থাপন করে ধর্ম ব্যবসায়ীরা,1,0,Disagreement
এই প্যান্টে পা ঢোকাও ক্যাম্নে আটকে যায়না,1,0,Disagreement
এই উপমহাদেশে দাস থেকেই দাসী হয়েছে সেই এক হাজার বছর আগে থেকেই নতুন কিছু ভাবনা আসে না আর,1,0,Disagreement
পূর্নিমার মতো ঝানু প্লেয়ারের কাছে বাপ্পী এক ছোটা বাচ্চা হ্যায়,1,0,Disagreement
ধর্মের আবার সমন্বয় কি??যারা কাফির তারা কাফির,1,0,Disagreement
তোদের মত লোকের কাজ হচ্ছে সব সময় মানুষের খারাপ দিক গুলা খুঁজাখুঁজি করা,1,0,Disagreement
"খালেদা জিয়া শুধু পারে ডাক দিয়ে ভাংচুর পতন, কিন্তু ভাংচুর পতন দাংগাহাংগা করে ভালো কিছু পাওয়া যায় না,",1,0,Disagreement
ভাই আগে আপনি ঠিক করে লিখতে শিখুন কি বাল লিখেন কিছুই বুঝি না,1,0,Disagreement
আমরা মধ্যে বৃওরা আডালে থেকে গেলাম খোজ নিলোনা কেউ,1,0,Disagreement
এটা ছাত্রলীগের পাতানো ফাঁদ,1,0,Disagreement
স্যার ইন্তেজারে আছি কবে ডিকলার দিবেন আমরা মোকাবেলা করতে পেরেছি ক রো না কে,1,0,Disagreement
কাতার থেকে কায়রো যেতে হিমালয় দেখেছে আজহারী আজহারী সহ ওর সমগোত্রীয়রা অহরহ মিথ্যা বলে সূর্য পৃথিবীর চারিদিকে ঘোরে পাহার পর্বত আকাশ ঠেকা দিয়ে রেখেছে যারা বিশ্বাস করে তাদের কাছ থেকে আর কি আশা করা যায়,1,0,Disagreement
হ্লা এখন টিক্কা গেন্জি বেচা শুরু করছে,1,0,Disagreement
ছাত্রলীগ সবাই মিলে যে ধানের বুজা মাথায় নিছে আমি একলাই সব গুলো নিতে পারবো ধান কাটার নামে ফটোশুট,1,0,Disagreement
শেখ মুজিবের শাসনামলে রক্ষীবাহিনীর ভয়ে যুবতী মেয়েদেরকে লুকিয়ে রাখা হত আর এখন রাখতে হয় ছাত্রলীগ যুবলীগের ভয়ে,1,0,Disagreement
সরকার ভিন্ন মত সয্য করতে পারছে না,1,0,Disagreement
তাহলে তো আপনি প্রফেশনাল হুক্কা টানেন,1,0,Disagreement
আজো ভবিষতেও কোনো দিন সামনা সামনি লড়াই করতে পারবেনা ভারতের সাথে বুঝলি	Geopolitical,1,0,Disagreement
ছবি দেখে বাংলা চলচ্চিত্রের শুটিং মনে হলেও বাস্তবতা হলো এ সব ছবি ছাত্রলীগ নেতা সজীবের অস্ত্র প্রশিক্ষণ ক্যাম্পের,1,0,Disagreement
মেয়েগুলো ফেইক এপ্রিশিয়েট করে অথবা ফেইক সাপোর্ট দিয়ে এটেনশন সিকিং টা ভালই করছে ওয়েটিং ফর নেক্সট নাম কিন্তু সার্কাস্টিক কমেন্ট গুলার মাঝে শিল্পের ছোয়া পাই,1,0,Disagreement
এদের যতো এলার্জি কেবল দেশের ইসলামিক স্কলার অথবা ইসলামের নামে হুজুর,1,0,Disagreement
"বুঝবার পারছি,তুমি দিনদিন জোয়ান হচ্চো,বাট আলতু ফালতু ছবি পেইজে দেয়া বন্দ করো, এসব ছবি দেখে পোলাপান এর রাতে সপ্নদোষ হয়।  থাক আর কিচু বললাম না,বাকিটা বুঝে নিও,",1,0,Disagreement
গেঞ্জির মধ্যে যে ব্ল্যাক প্যানথার কনডমের লোগো দিয়ে রাখছো কনডম কোম্পানির স্পনসর পাইছো নাকি,1,0,Disagreement
এরা কি অনিয়মিত গাঞ্জা খায়!!,1,0,Disagreement
ভাই জেগে জেগে ঘুম আসলে ওই লোককে কখনো উঠানো যায় না ঘুম থেকে উঠুন জগৎ চিনুন খেয়ে,1,0,Disagreement
আমরা যুদ্ধ চাই আমাদের দাবী একটাই কলকতা আমাদের জায়গা ভারত আমাদের শোসন করছে এর বদলা নিতে আমরা যুব্ধ চাই,1,0,Disagreement
আরে ভাই এগুলা হাসিনার চাল অযাথা ইশু তৈরি করে হাসিনা মুসলিম হিরু হতে চায়,1,0,Disagreement
আমি তহ পাছা কিনবো,1,0,Disagreement
বি এন পি খালেদা জিয়া কে দেখলাম হিলারির ইমেলে প্যচারে এখন দেখছি ট্যাম্পে সাথে গলামিলাচেছ এই ধরনের চরিএ্য একমাত্য বি এন পি কে মানাই,1,0,Disagreement
এই মেয়ে টাকে একটুও মায়া লাগেনা আর যে বাজে পোষাক পরেছে ছি ছি ছি,1,0,Disagreement
যারা নাকি এই কুলাংগার ছেলে কে আইনের হাতে তুলে দিয়েছেন তাদের জন্য দুআ রইলো আমার অন্তরের অন্তর থেকে যে এক বৃদ্ধ বাবাকে লানচনার হাত থেকে বাচিয়েছেন,1,0,Disagreement
মাশরাফি ভাই তুমি আওয়ামী লীগের দালালি কর আমি কল্পনা করতে পারিনি,1,0,Disagreement
ইশ! আবার ইংরেজী মারাও?,1,0,Disagreement
জেলাস হও মামা,1,0,Disagreement
হুদাই এইসব আবাল মার্কা কথা বইলা নিজেকে আর হাসির পাত্র বানাইসনা ভাই তোর জন্য কষ্ট লাগে,1,0,Disagreement
এখানে একজন ব্যাক্তি গরুর মাংশ খাবার কথা বলেছে ঐ ব্যাক্তির কাছে আমার প্রশ্ন আপনি কি কখোনো কোরআন পড়েছেন,1,0,Disagreement
মাননীয় প্রধানমন্ত্রী এই লাশের দায় কাকে দিবেন? ঠিক করেছেন কিছু?,1,0,Disagreement
কিরনমালা সিরিয়াল শেষ হয়ছে হউক তবে কিরনের চাইতে আর ধামাক্কা সিরিয়াল তৈরী করবে ভারতীয়রা  বর্তমান দেশে কলকাতা বাংলার যতগুলা নাটক আছে সব চমক প্রদক আবার শান্তির সোনারসংসার সহজে ভাঙ্গার মারাত্বাক টিপস সংগ্রহ করা যায় এদিকে আমাদের বাংলাদেশের শিক্ষার মান এমনেতেই অনেক কারনে পিছিয়ে আছে তার উপরে দড়ির টান লেগেই আছে সাষ্টার জলসার হ্নদয় বিদারুক কাহিনী লাগাইছে টা টা পর্যন্ত এই সময় সকল ছাএ ছাত্রিরীদের পড়া লেখার মুল্যবান সময়  না দেখলেই না চলে এমন একটা ছাত্রি বলতে পারবে আমার না দেখে চলে প্রতিটি স্কুলে সাষ্টার	Geopolitical,1,0,Disagreement
ওই লোক লেখা পড়া জানে না ধর্মগ্রনত মানেনা ওর সাথে কিসের তর্ক,1,0,Disagreement
নাস্তিক সরকারে বন্ধু ভারতের ফায়ার সাভিস বাংলাদেশে আজব	Geopolitical,1,0,Disagreement
মুরি খান,1,0,Disagreement
মদ খান আর মহানবীকে চুদেন আমাদের অসুবিধা নেইকিন্তু শেখ মুজিবুর রহমানকে নিয়ে কোন কুটুক্তি করবেন না প্লিজকারণ শেখ মুজিবের জন্ম না হলে আমরা একটা স্বাধীন রাষ্ট্রের নাগরিক হতে পারতাম নাশেখ মুজিব আমার পিতাতুল্য,1,0,Disagreement
জামায়াতকে বাদ দিয়ে সবাই ঐক‍্যবদ্ধ হোন জাতি আপনার সাথে আছে,1,0,Disagreement
ভিখারির হাতে এক টাকা দিয়ে ছেড়ে দেওয়াই ভালো এর থেকে বেশি কিছু করতে গেলে এই রকমই হবেআমিও ঠকে শিখেছি,1,0,Disagreement
ভাই না বুজে কিছু লিখলেই কবি বা সাহিত্যিক হওয়া যায় না বিদ্যুৎ প্রকল্প নিয়ে আজ প্রযন্ত কেউ কোন রোধিতা করেনি বিরোধিতা করেছে সুন্দরবনকে নিয়ে সুন্দরবন ছাড়া যে কোন যায়গায় এই বিদ্যুৎ কেন্দ্র করা যেতে পারে বিশেষ করে বিদ্যুৎ প্রকল্পের নামে ভারতকে সুবিদা দেওয়াই হচ্ছে মুল টার্গেট 	Geopolitical,1,0,Disagreement
বাংলাদেশে অনেক রুচিশীল নাটোক টেলিফ্লিম আছে যেগুলো সবাই দেখে।এখন যুক্ত হইছে কিছু ভারতিও চ্যানেল যা বাংলার মেয়েদের মাথা খারাপ করেছে।,1,0,Disagreement
"করিডোর, অবকাঠামো সব ভারতের, চুক্তি অনুযায়ী আমরা কাঠালের বিচিগুলো পাবো তো?",1,0,Disagreement
অল্প বয়সে উঠলে বাল তার দুঃখ চিরকাল,1,0,Disagreement
এই লোকটা মুসলিম না হিন্দু মুসলিম সেজেছে,1,0,Disagreement
ওস্তাদের মাইর শেষ রাতে,1,0,Disagreement
ভারত বাংলাদেশের মাটিতে কি কখনও খেলছে ওদের কথা শুনে মনে হয়	Geopolitical,1,0,Disagreement
তোরা সব হাছা কথা ছড়াস,1,0,Disagreement
ভুঁয়া নিউজ,1,0,Disagreement
আর কতো ঢং করবি করোনা ভাইরাস ও ঢং কমাতে পারলো না,1,0,Disagreement
অপু কে বলছি তুমি আসলে মুসলিম কখনো মন তেকে হওনি তাই তোমাকে আমার আল্লাহ কবুল করেন নি,1,0,Disagreement
"শুক্রবার আজ একটি পবিত্র দিন, অর্ধউলঙ্গ হওয়ার কি দরকার ছিলো",1,0,Disagreement
তোমরা কি ঘোরার ঘাস কাটো,1,0,Disagreement
ভাই এই বর্বরতার কোন প্রতিকার আছে কি,1,0,Disagreement
তা হলে তো মেয়ে টা মারা যেতো মিথ্যা নিউজ,1,0,Disagreement
আপ্নি একজন 'ভার্সিটির অধ্যাপক' তাই নিজের ওয়েট বজায় রাখুন।এসব ছাগলামী করলে শুধু শুধু সম্মান হারাবেন! নাকি 'কমেডি' লেখছেন...?,1,0,Disagreement
ধন্যবাদ শায়েখ এগিয়ে যান নাস্তিকদের কথায় কান দিয়ে লাভ নেই,1,0,Disagreement
ফইন্নি ভারতের সাথে বাংলাদেশের তুলনা মানে সোনার সাথে কাদার তুলনা,1,0,Disagreement
ফালতু সেলেব্রিটি,1,0,Disagreement
"এ লোকের মত,যে পবিত্র কোরআন সম্পর্কে অভিজ্ঞ, সে নাস্তিকদের সাথে তর্কে যাবেন,দাঁতভাঙ্গা উত্তর দিবেন",1,0,Disagreement
আপনি যে বললেন ভারতের বাঙালীরা সব আমাদের মুখ উজ্জ্বল করেছে ইতিহাস সম্পর্কে কি জানেন আপনি  কলকাতার লোকেরই পূর্ব পুরুষ বাংলাদেশী হিন্দু হলেই যে ভারতীয় হয়ে যায় তেমন কোন কথা নয়  স্যার জগদীশ চন্দ্র বসু ভারতে জন্মায়নি তার জন্ম আমার জেলায় ঢাকা বিভাগের বিক্রমপুর তথা মুন্সিগঞ্জ জেলাতে তার জন্ম কাজী নজরুল ইসলাম জন্মগ্রহন করেছেন বর্ধমান এর চুরুলিয়াতে পেটের দায়ে বাংলাদেশে এসেছিলেন হয়ে গেলেন আমাদের মাথার মুকুট বিদ্রোহী কবি কারন তখন বাঙালীরা কলকাতা আর বাংলাদেশকে আলাদা চোখে দ	Geopolitical,1,0,Disagreement
হিন্দু ধর্ম তো এইটাই জানে না যে প্রিথিবি গোল,1,0,Disagreement
এরা যখন এই ধরনের ওয়াজ করে এদের কি তখন প্রতিবাত করার মতো কেউ থাকে না নাকি,1,0,Disagreement
আরে পাগলা বাংলায় বল,1,0,Disagreement
তাছাড়া মুর্তিকে পূজা করার কথা কোথায় আছে এটাও জানাবেন,1,0,Disagreement
"যে বখাটে ছাত্রকে শাসন করার কারণে শিক্ষক অপমানিত হয়,  সে জাতি  আবার শিক্ষিত জাতি চায়?",1,0,Disagreement
আরে কদবানু কি খেলা যে দেখাচ্ছো,1,0,Disagreement
আমরা যখন স্কুলে পড়তাম তখন কান ধরে বসে থাকতাম আর এখনকার ছেলে মেয়েরা স্কুলে গিয়ে দুধু টিপে,1,0,Disagreement
ভারতের সাথে কোনো চুক্তি না করাই ভালো  লস হবে  বাংলাদেশ ভারতের সাথে রাজনীতিতেকূটনীতি তে পারবে না 	Geopolitical,1,0,Disagreement
আপনাদের সকলের অবগতির জন্য জানাচ্ছি যে এই প্রথম আলোকে বর্জন করা এখন অনেক জরুরি হয়ে গেছে,1,0,Disagreement
ভাই এসব না বলে যা বলতেসে শুনেন ভালো না লাগলে ভাগেন গুশটি এর পরিচয় দিয়েন নাহ,1,0,Disagreement
এদের বাজে রিপ্লে না দিলেই ভাল এরা বলবেই,1,0,Disagreement
নাম তো প্রমাণ করেন না প্রমাণ না করেই বলছেন কেন ত্যানা প্যাচাপেচি শুরু করসেন কেন,1,0,Disagreement
বুঝিনা নামর মধ্যে কি পাইছে ওরা ও একটা নায়িকা হইলো ওর এক্সপ্রেশন দেখলে মেজাজ খারাপ হয়ে যায়,1,0,Disagreement
